id,query
1,Suggest a breakfast I can cook overnight to eat in the morning
2,What is a good overnight oats i can make with greek yoghurt and fruits. needs to be high protein
3,what is a quick egg recipe i can make, tired of scrambled eggs
4,give me a recipe for a chicken and rice i can make. needs to have chicken, rice and salad with sauce
5,what is a quick protein snack that i can make 
6,give me a japanese chicken and rice recipe
7,what are some good ways to make chutni
8,i need a quick lunch for work
9,give me a halal rice krispy treat recipe
10,what is a good protein smoothie recipe that i can make with protein powder and fruits
